name,symbol,category,chains,tvl,change_1d,change_7d,change_30d
PlantBaseSwap,PLANT,Dexs,Base,19.988293321263892,0.2730599709891237,-4.907943777598518,0.0
QuokkaLend,-,Lending,Morph,19.920126590060843,0.42594126856036496,-6.872555427070509,0.0
KiloLend,-,Lending,"Bitkub, Klaytn",19.890751758643365,-1.550508210413767,-7.267326137681437,0.0
Hatom TAO Bridge,HTM,Bridge,Bittensor,19.826486665315443,1.7498940307163195,-4.954575636046613,0.0
Bridge LZ,-,Bridge,"Linea, Base, Ethereum, Optimism",19.822797912613762,-0.09974387009917507,-7.913651190792578,0.0
ApeDAO,vAPE,Farm,Fantom,19.682871682348125,-8.138283714198053,80.23619845675668,0.0
Mama DAO,MAMA,Reserve Currency,Polygon,19.65911803301736,-1.6088104784541457,-1.6133390057995456,0.0
OakFarm,OKF,Yield,OKExChain,19.566482902366666,-0.10054621000212194,-0.09374800348751933,0.0
Astarnova,NOVA,Dexs,Astar,19.352907000000005,,,0.0
Astrol,-,Lending,Eclipse,19.297755531250644,0.04666106774121204,-8.4429796390328,0.0
A-DEX,-,Dexs,"EOS, Wax",18.98887877998331,2.7619044909050388,-1.5570182918348223,0.0
Equation V1,EQU,Derivatives,Arbitrum,18.91767801791712,-0.009071323375636098,-0.05691402404221435,0.0
Spiral Finance,SPR,Yield Aggregator,Fantom,18.854011347225594,-8.398582886624155,-14.01092197224348,0.0
Stable Swap V2,-,Dexs,Stable,18.62440461715448,-0.010525181319906096,-0.22867752955988863,0.0
Satsat,STST,Farm,Map,18.57116847176472,0.3988233149288476,9.225053781370335,0.0
foxify,FoxifyMAXI,Derivatives,"Arbitrum, Sonic",17.99790795299475,0.011473077722641278,-0.0020252008951899825,0.0
Modswap,-,Dexs,Mode,17.90664566095834,-1.9080388999288544,-9.011705245952655,0.0
MetaTdex,TT,Dexs,"Binance, Polygon, Heco",17.85770991806023,-3.928798886774956,-11.369548350672488,0.0
Genesys,DNA,Yield,Fantom,17.75912238380325,-8.392534146710815,-14.059022255679949,0.0
Onyx V2,XCN,Lending,Ethereum,17.370446977270813,,,0.0
EddyFinance V3,-,Dexs,ZetaChain,17.295254930828076,-3.7487138664290427,1.2543016294313674,0.0
Deflex,-,DEX Aggregator,Algorand,17.05758344395938,-1.3923190658446742,-11.1770725705709,0.0
Ace of Base,ACE,Farm,Base,16.933273106388203,0.4125295131513411,-3.07506671972952,0.0
ViveLaBouje,VIVE,Yield,Fantom,16.714125709190277,-7.780473210643919,-25.12487698559852,0.0
SupraFi,-,Liquid Staking,Sonic,15.9825777221609,0.37274860273403476,-34.23735585131833,0.0
Butterfly Finance,-,Farm,Avalanche,15.95673098252234,2.1320128131613814,1.262851788528522,0.0
GTON Capital,GTON,Reserve Currency,Fantom,15.832273140039906,-7.679658974903475,-24.83322742864644,0.0
LeMONAD,LEMON,Dexs,Monad,15.76989048668552,0.09277054349749392,1.9609262687567224,0.0
Unirex Finance,UNIREX,Farm,Fantom,15.67242054334502,,,0.0
OpenZK,-,Canonical Bridge,Ethereum,15.667994978588045,0.8743413435543772,-4.083550563236997,0.0
Yogurt Finance,YOGURT,Farm,Pulse,15.601842535445432,0.579925284798648,-1.0600366435635493,0.0
SomeSwap CL,-,Dexs,Monad,15.584674991282181,0.8457799193828208,-2.5598857040514673,0.0
NeuroIsland,NEURO,Yield,Cronos,15.484872521237111,1.5577448562034988,-5.713641768626275,0.0
DeFO,-,SoFi,Base,15.469114376100102,0.13776579188569826,-7.923191811081836,0.0
Apricot Finance,APT,Lending,Solana,15.412473253067668,-1.2298302303437225,15.852563457910946,0.0
Reservoir,-,Dexs,Avalanche,15.239983097756747,0.20101495132460911,-5.573325370359868,0.0
Clawloan,-,Uncollateralized Lending,"Arbitrum, Optimism, Base",15.15522638299708,0.009095439826552365,-0.006992759394094605,0.0
Defi Halal,HALAL,CDP,Polygon,15.126909490359898,-0.48479145714757976,-12.126793018347158,0.0
Coup Farm,COUP,Yield,Avalanche,15.114016680622136,-0.045922507055237816,0.10206074441620672,0.0
Aquas Trade,-,Dexs,Europa,14.916470399315699,-62.08812045948529,-63.12519631944355,0.0
Esper Finance,-,Dexs,Mantle,14.731542470467474,-0.2418435512765882,-9.88678150020948,0.0
Gomble Games,GM,Farm,Binance,14.722449853421951,0.011149085668350267,-0.06421988187469196,0.0
JewelSwap NFT Lending,-,NFT Lending,Elrond,14.718970211609998,3.282081484230062,-9.867057596397828,0.0
Adena Finance,ADENA,Dexs,Harmony,14.375950202033545,2.275252390165619,-9.064845480359125,0.0
ReHold V2,-,Yield,"Ethereum, Base, Avalanche, Polygon, Binance, Arbitrum, Optimism, Linea, Manta",14.374819886623175,,,0.0
Glitter Finance,XGLI,Bridge,"Solana, Algorand, Ethereum",14.355303437139684,6.676560226540033,3.020183976675767,0.0
SolidBlast,-,Dexs,Blast,14.333026168273786,0.96863831367655,-3.7492676176682664,0.0
Amogus DAO,SUS,Reserve Currency,Avalanche,14.23584134196627,-30.089692911001322,-63.73130523592238,0.0
NoahArkDAO,NRK,Reserve Currency,Avalanche,14.162453629950761,-1.7810049421239995,-5.79631228742025,0.0
